id,etapa,dia,data,etapa_inici,etapa_fi,distancia,dist_acum,desnivell,desn_acum,despesa,desp_acum,pernoctacio,pais,gpx,track_inici,track_fi,titul,link_youtube,link_gpx,link_strava,cafe,refresc,cervesa,persona,link_portada
-7,,,2/11/2025,,,,"0,000",,0,,"0,00",,1,,,,El vídeo més important de la meva vida,https://www.youtube.com/watch?v=CVD3eDH_1Nw,,,,,,,https://img.youtube.com/vi/CVD3eDH_1Nw/hqdefault.jpg
-6,,,6/11/2025,,,,"0,000",,0,,"0,00",,1,,,,La Volta al Món A PEU: Catalans sense Fronteres,https://www.youtube.com/watch?v=SdNcjFi-Igg,,,,,,,https://img.youtube.com/vi/SdNcjFi-Igg/hqdefault.jpg
-5,,,9/11/2025,,,,"0,000",,0,,"0,00",,1,,,,En Pau ha fet la Volta al Món en BICICLETA,https://www.youtube.com/watch?v=6LqNkFvZSNk,,,,,,,https://img.youtube.com/vi/6LqNkFvZSNk/hqdefault.jpg
-4,,,16/11/2025,,,,"0,000",,0,,"0,00",,1,,,,La RUTA de la Volta al Món a Peu,https://www.youtube.com/watch?v=z_rMlxuwe50,,,,,,,https://img.youtube.com/vi/z_rMlxuwe50/maxresdefault.jpg
-3,,,20/11/2025,,,,"0,000",,0,,"0,00",,1,,,,Així m'he entrenat per La Volta al Món a Peu | Carlos Mantero,https://www.youtube.com/watch?v=z9IrgSB2-fk,,,,,,,https://img.youtube.com/vi/z9IrgSB2-fk/hqdefault.jpg
-2,,,23/11/2025,,,,"0,000",,0,,"0,00",,1,,,,La MOTXILLA per La Volta al Món a Peu,https://www.youtube.com/watch?v=aJIc478hHjE,,,,,,,https://img.youtube.com/vi/aJIc478hHjE/hqdefault.jpg
-1,,,28/11/2025,,,,"0,000",,0,,"0,00",,1,,,,Tot pot sortir malament a La Volta al Món a Peu,https://www.youtube.com/watch?v=99MC3pwKPg8,,,,,,,https://img.youtube.com/vi/99MC3pwKPg8/hqdefault.jpg
0,,,30/11/2025,,Barcelona,,"0,000",,0,,"0,00",,2,,,"41.3870270,2.1700430",Sortida de La Volta al Món a Peu,https://www.youtube.com/watch?v=yO1f4UTKsAQ,,,,,,,https://img.youtube.com/vi/yO1f4UTKsAQ/hqdefault.jpg
1,1,1,30/11/2025,Barcelona,Mataró,"32,937","32,937",111,111,"0,00","0,00",Habitació,2,2025-11-30T114007Z.gpx,"41.3870270,2.1700430","41.5339540,2.4401490",Dia 1,https://www.youtube.com/watch?v=p1N6DtzCHEg,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-11-30T114007Z.gpx,https://www.strava.com/activities/16613377062,2,,,2,https://img.youtube.com/vi/p1N6DtzCHEg/hqdefault.jpg
2,2,2,1/12/2025,Mataró,Pineda de Mar,"28,898","61,835",252,363,"4,40","4,40",Tenda,2,2025-12-01T082826Z.gpx,"41.5340570,2.4400570","41.6338390,2.6981660",Maresme lliure i tropical. Dia 2,https://www.youtube.com/watch?v=gehMI05Chx8,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-01T082826Z.gpx,https://www.strava.com/activities/16620809169,2,1,,7,https://img.youtube.com/vi/gehMI05Chx8/hqdefault.jpg
3,3,3,2/12/2025,Pineda de Mar,Lloret de Mar,"32,766","94,601",623,986,"0,44","4,84",Tenda,2,2025-12-02T074818Z.gpx,"41.6338970,2.6982320","41.7197340,2.9000490",Selva Marítima. Dia 3,https://www.youtube.com/watch?v=lcgo6RQjJcQ,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-02T074818Z.gpx,https://www.strava.com/activities/16629999190,2,,,4,https://img.youtube.com/vi/lcgo6RQjJcQ/hqdefault.jpg
4,4,4,3/12/2025,Lloret de Mar,Sant Feliu de Guíxols,"27,818","122,419",565,1551,"4,50","9,34",Habitació,2,2025-12-03T071419Z.gpx,"41.7197350,2.8994220","41.7813390,3.0317650",Empordanesos i empordaneses. Dia 4,https://www.youtube.com/watch?v=mobBXwDWj14,https://raw.githubusercontent.com/Ercoman2/GPX-LVM/main/2025-12-03T071419Z.gpx,https://www.strava.com/activities/16639800510,1,1,,5,https://img.youtube.com/vi/mobBXwDWj14/hqdefault.jpg
